,0
0,"[0.12008648850118064, 0.0032537698091819056, 36.90687895692718]"
1,"[0.22086960303758696, 0.20856864725795643, 1.0589779717198664]"
2,"[0.34718751821033855, 0.1362849911066859, 2.5475110310463682]"
3,"[0.03593807045003161, 0.03593807045003161, 1.0]"
4,"[0.2327612408340558, 0.03819687680812178, 6.093724416352384]"
5,"[0.35055975795219396, 0.050282003354773064, 6.971873325705841]"
6,"[0.20375559084450323, 0.06668198842864848, 3.0556315977668724]"
7,"[0.0335097504302575, 0.021868438092977893, 1.5323339640345743]"
8,"[0.16205025770509707, 0.02776391012048407, 5.836723177746395]"
9,"[0.019079958366852168, 0.003654081953423538, 5.221546371989825]"
10,"[0.12240493114311746, 0.005457149126571803, 22.430197215448388]"
11,"[0.08074609817639478, 0.03758315661946021, 2.1484650423052862]"
12,"[0.031646448210105316, 0.026437032222108137, 1.1970499541790767]"
13,"[0.3171580460991006, 0.03954976988674619, 8.019213436824211]"
14,"[0.25761947202593993, 0.09482865901092818, 2.7166836978708253]"
15,"[0.13519778020737705, 0.012128851983078226, 11.146791171662457]"
16,"[0.2659398539090245, 0.013121312885814307, 20.267777792002583]"
17,"[0.2505508812645817, 0.13055843012551338, 1.9190708790210838]"
18,"[0.39060968172174315, 0.20489067039593656, 1.9064298094535876]"
19,"[0.5221017261593202, 0.09173790150857686, 5.691232495769563]"
20,"[0.4872345784816796, 0.2079796600818744, 2.342703023410425]"
21,"[0.553844327519148, 0.4433138224456461, 1.2493279015387657]"
22,"[0.5691176439135623, 0.46615732132013066, 1.2208703325775383]"
23,"[0.6045994776796197, 0.4763654843395857, 1.269192453180802]"
24,"[0.6733572042366116, 0.49287804948591973, 1.3661740565215568]"
25,"[0.7706908382945948, 0.11566526842698133, 6.663113731336962]"
26,"[0.7040278608655366, 0.4669240825771628, 1.5077994199393017]"
27,"[0.47642769131906226, 0.14822737291224586, 3.214168084872683]"
28,"[0.5035041315825337, 0.19085262670010306, 2.6381828759093615]"
29,"[0.31007280063065257, 0.1356195661801839, 2.286342666947411]"
30,"[0.2804224282691071, 0.023987825558323683, 11.690197912574098]"
31,"[0.019999383229628576, 0.019999383229628576, 1.0]"
32,"[0.4214062237154762, 0.14382264298179637, 2.9300408821496458]"
33,"[0.3473645781768727, 0.23048599955787197, 1.5070962177451221]"
34,"[0.7782425390190442, 0.2951548461349317, 2.636726278460853]"
35,"[0.7703170615012267, 0.17717526236138503, 4.347768707857242]"
36,"[0.7561315701957344, 0.038818073498033234, 19.478853586952088]"
37,"[0.6349505388602212, 0.05505689858929008, 11.532624523527643]"
38,"[0.5005285720299439, 0.24859745676138445, 2.0134098656945425]"
39,"[0.15151005964067377, 0.0257202112613395, 5.890700434036138]"
40,"[0.3311098436695745, 0.31793916094157404, 1.0414251666545122]"
41,"[0.4739561311120041, 0.3787377638224487, 1.2514097520367509]"
42,"[0.5935474192456469, 0.08685426793058637, 6.833831352075962]"
43,"[0.5280144513383442, 0.005342652405671666, 98.83002135377801]"
44,"[0.5777947619020756, 0.20068289430139785, 2.8791430575757397]"
45,"[0.5097542555840622, 0.02412250568541796, 21.131894929646894]"
46,"[0.4832300263342082, 0.17489291075105196, 2.7630052256495]"
47,"[0.4408732998842908, 0.19822531080856975, 2.2241019478589754]"
48,"[0.3908193809164907, 0.028417058043227694, 13.75298527813755]"
49,"[0.21918531642098615, 0.035077423672011165, 6.248615020032888]"
50,"[0.28970940895114095, 0.07822072908720346, 3.7037421196644926]"
51,"[0.31186765829312824, 0.2673272759087637, 1.1666136844171702]"
52,"[0.41239101313648696, 0.281014024227486, 1.4675104357163644]"
53,"[0.373111837300258, 0.03285816766548355, 11.355223489598295]"
54,"[0.37198566765592433, 0.19443774701015304, 1.9131350438683092]"
55,"[0.6476373801771225, 0.14643144786808082, 4.4228025441678005]"
56,"[0.6790997193898967, 0.2174513367086368, 3.122996297327079]"
57,"[0.6479567944593971, 0.2727478583741334, 2.3756622630216313]"
58,"[0.6522322179853113, 0.34212097597387303, 1.9064373826500505]"
59,"[0.7356505566012055, 0.3773757467448813, 1.9493848318199687]"
60,"[0.7647367317444448, 0.3835083915109043, 1.9940547551818066]"
61,"[0.7815888777264122, 0.38417632488242326, 2.0344535233023966]"
62,"[0.7919376782284633, 0.4571803402990733, 1.732221638643521]"
63,"[0.8440875346137586, 0.4728642074778706, 1.7850527091400987]"
64,"[0.8689084025402756, 0.47415549566642645, 1.8325389254827114]"
65,"[0.8765843617735318, 0.47772551435061916, 1.8349121732907412]"
66,"[0.9149438215738164, 0.49017655265729676, 1.8665597458993362]"
67,"[0.9282449373830068, 0.49379825329084936, 1.8798060365682712]"
68,"[0.9404477182725393, 0.49995904478874564, 1.8810495141055388]"
69,"[0.9628473491832982, 0.5040951213967289, 1.9100509176035565]"
70,"[0.9648371501674913, 0.5051212100500426, 1.910110149743869]"
71,"[0.9656922420354841, 0.5063223140591067, 1.907267792117793]"
72,"[0.9477248988685923, 0.38992048735065254, 2.430559382267879]"
73,"[0.9491816302985485, 0.44064549879066806, 2.154070864001868]"
74,"[0.9440562379588023, 0.4237420812167636, 2.227902962216948]"
75,"[0.9439701383450608, 0.38058786501006336, 2.4802948941109846]"
76,"[0.9446421021063425, 0.3808156125954183, 2.480576086857915]"
77,"[0.9421065425157875, 0.5159166834090883, 1.8260827238431414]"
78,"[0.9481577305335552, 0.5146546686383113, 1.842318331712057]"
79,"[0.9517582842500526, 0.5170220475401468, 1.8408466114322688]"
80,"[0.9528432521975491, 0.5198863948591386, 1.832791282133318]"
81,"[0.9544373094510361, 0.515726091991979, 1.8506670968780075]"
82,"[0.9634259629426594, 0.5184623723823174, 1.8582369989855754]"
83,"[0.9672521322292643, 0.5241951077650808, 1.8452139630855549]"
84,"[0.970464263346488, 0.5237196758566149, 1.8530223478030712]"
85,"[0.9756108886501873, 0.524213318269424, 1.8610951966481013]"
86,"[0.9796300765840174, 0.5259005519318642, 1.8627667778354764]"
